GeneID	SRR1023811	SRR1023810	SRR1023805	SRR1023808	SRR1023812	SRR1023806	SRR1023809	SRR1023807
WP_003406879.1	11211	9746	13539	7000	9959	14599	10151	8668
WP_023637385.1	15316	14462	14031	9181	12788	16762	13461	11339
WP_003406887.1	8927	7332	10412	5273	9224	10285	7558	5731
WP_042507542.1	2665	2304	2244	1203	2549	2979	2295	1618
WP_010924383.1	5728	3185	4056	5456	5381	4554	3202	6495
WP_003406897.1	7391	5183	6135	6017	6918	6412	5015	7185
WP_003900319.1	10723	9447	8129	4004	9517	10423	8130	4994
WP_003898827.1	2227	1531	1770	1047	2227	1882	1557	1301
WP_003900321.1	1402	857	925	737	1264	979	869	1063
WP_003406906.1	7789	5531	6438	6179	7355	5624	6266	6778
WP_003898829.1	9084	7241	7427	6337	8733	7571	7691	7385
WP_003406908.1	4220	2918	3289	2943	4078	3768	2816	3789
WP_003898830.1	2260	1589	2012	1108	2221	1959	1579	1164
WP_003406910.1	2689	2020	2102	1358	2430	2368	1625	1561
WP_003406912.1	3779	3171	3158	2193	3374	3704	2963	2726
WP_003898831.1	3550	3043	4141	2528	3452	4311	3325	3027
WP_003406919.1	1718	1583	2067	1069	1776	2228	1623	1280
WP_003406922.1	4250	3576	4090	1818	4014	4591	3412	2307
WP_003406926.1	4592	4407	4639	1954	4230	5760	3997	2509
WP_003406931.1	2350	1864	2260	953	2268	2694	1972	1305
WP_003406937.1	1946	917	1101	706	1753	1231	1020	906
WP_003898833.1	1559	782	811	608	1499	887	693	706
WP_003406944.1	1395	820	1102	429	1192	1209	922	539
WP_078440984.1	3780	2524	2718	1465	3303	3325	2458	1922
WP_003406953.1	2941	2020	2204	1248	2832	2400	1941	1537
WP_003406956.1	919	700	913	441	857	967	752	509
WP_003406958.1	2075	1583	1646	907	2112	1896	1421	1065
WP_003900322.1	1225	890	938	570	1233	1119	829	644
WP_003406963.1	832	406	405	497	750	463	392	591
WP_003898835.1	1731	753	615	575	1489	703	718	827
WP_003908682.1	1358	681	475	432	1198	546	559	587
WP_003406967.1	4032	3421	3383	3650	3541	3797	2815	4044
WP_003898836.1	876	756	651	529	894	838	604	585
WP_003898837.1	2991	1777	2554	1565	3325	2186	2017	1658
WP_003898838.1	2208	866	882	3073	2301	701	952	3139
WP_003406981.1	1015	652	829	489	912	788	666	564
WP_003406987.1	1289	599	925	835	1228	834	721	931
WP_010924386.1	1312	662	743	834	1309	696	666	943
WP_003407052.1	1794	805	862	1247	1503	875	773	1489
WP_003407054.1	500	282	384	234	535	325	337	255
WP_003898842.1	4574	3697	5250	2313	4816	4853	4297	2429
WP_003898843.1	973	909	1327	398	958	1278	966	487
WP_003407152.1	1607	1042	987	744	1366	1202	911	953
WP_003407159.1	4348	3500	4188	3995	4198	4301	3305	4835
WP_003898845.1	1442	1918	2289	600	1405	2333	2002	786
WP_003407164.1	590	387	547	316	562	527	437	339
WP_003907641.1	1167	587	748	593	1001	662	631	720
WP_003898846.1	2051	980	1256	972	2025	1206	1140	1251
WP_003407180.1	1747	1623	1542	863	1460	1722	1476	998
WP_003900326.1	804	812	609	390	723	790	655	415
WP_003407185.1	1237	913	931	754	1131	1014	906	880
WP_003917467.1	1447	1155	1277	1029	1610	1178	1057	1130
WP_003901145.1	2988	2882	3495	793	3045	3295	2293	993
WP_003898850.1	1219	1094	1706	1141	1244	1529	1316	1291
WP_003900327.1	1826	1624	1894	1054	1709	2030	1724	1429
WP_003898852.1	1976	1597	1589	1248	1858	1757	1495	1577
WP_010924391.1	3120	2388	3536	4515	2764	4259	2197	6452
WP_003407196.1	3488	2149	2739	1829	3286	3186	1866	2372
WP_003407200.1	1257	909	909	776	1178	1238	746	1210
WP_003407204.1	2297	1477	1684	1569	1961	2027	1270	2175
WP_003898853.1	1106	687	692	641	945	1052	594	890
WP_003407208.1	2080	1530	1484	1351	1945	2023	1267	1876
WP_003898855.1	6077	4295	4833	4270	6060	5632	3890	5342
WP_003407220.1	2168	1712	1967	1266	2279	2317	1604	1782
WP_003407225.1	6065	2976	3102	1316	4779	4015	2045	1567
WP_003407230.1	26409	14638	14189	6272	22131	17708	10921	8042
WP_023641796.1	1341	870	883	364	1322	1046	641	341
WP_003407240.1	33848	30505	21426	7738	24528	36588	20728	12551
WP_003900331.1	28979	28391	20381	7273	22386	32994	18821	11884
WP_003407248.1	15073	10609	11724	7335	13542	13310	9828	8765
WP_003898859.1	17063	14969	15487	9458	15394	19212	13280	12179
WP_003900333.1	10135	7893	7848	4129	8978	9855	7371	4883
WP_003407257.1	1877	1880	1687	1056	1672	1735	1632	1342
WP_003407260.1	1497	1485	1306	820	1383	1583	1386	1178
WP_003407264.1	637	488	580	668	697	541	606	853
WP_075850578.1	936	1121	1079	891	969	1451	1191	1240
WP_015345066.1	2088	2617	4496	1520	2349	4463	3317	1663
WP_003898861.1	8184	10237	13046	8477	8085	13169	11850	9882
WP_003407272.1	20222	21010	47268	31134	23888	28667	34948	29636
WP_003407276.1	1732	1672	1619	626	1584	2013	1440	880
WP_010924395.1	3162	2848	2719	1312	3048	3194	2738	1838
WP_003407282.1	1813	1735	1708	751	1707	2052	1701	1001
WP_010924396.1	1439	1729	1963	522	1511	2189	1991	690
WP_003407292.1	670	670	835	434	632	685	646	514
WP_003407295.1	2276	2437	3202	1153	2154	3193	2396	1470
WP_003407297.1	937	1211	925	355	732	1301	867	530
WP_003900336.1	1780	1549	1503	1161	1617	1900	1234	1604
WP_003898865.1	1866	1738	1591	879	1773	1968	1676	1229
WP_003901153.1	2981	2323	3056	1446	2813	3265	2334	1745
WP_003898867.1	6892	5903	6706	3249	6832	7384	5697	4165
WP_003407310.1	20557	17375	18805	11107	18510	22053	16446	13763
WP_003407315.1	9903	8329	8319	4473	8332	9926	6992	5397
WP_003407318.1	1648	1200	1086	706	1462	1291	1084	883
WP_078440985.1	2343	1614	1344	887	2191	1702	1372	1197
WP_003407330.1	541	531	328	162	448	449	338	266
WP_003407334.1	8198	5877	7770	5496	8294	7636	6307	6310
WP_003898872.1	3221	2330	2675	2041	3221	2960	2504	2365
WP_003407340.1	1367	926	1307	828	1383	1259	1156	921
WP_003407343.1	2636	1650	2064	998	2563	2374	1907	1207
WP_003407345.1	3319	1174	1692	1391	3248	1593	1298	1596
WP_003407347.1	4089	2658	3062	2342	3956	3683	2593	2943
WP_003898873.1	2695	1942	2197	1576	2663	2429	1911	1912
WP_003407352.1	3598	2521	3087	1882	3362	3370	2788	2517
WP_003901156.1	3102	2439	2667	1530	2964	3172	2522	1941
WP_003407359.1	1596	1045	1178	738	1517	1336	1006	865
WP_003898875.1	3689	4514	4813	2123	3547	5130	4364	2546
WP_003898876.1	4340	5200	6271	1986	4249	6856	5007	2384
WP_003407374.1	3818	3668	5562	1633	3947	4734	3845	1728
WP_003917474.1	50615	43934	60254	43830	49071	61602	46248	53566
WP_003407378.1	3300	2679	3146	2947	3404	3161	2696	3498
WP_003917475.1	2776	2151	2032	1509	2414	2439	1793	1789
WP_003407382.1	976	848	805	695	937	950	744	877
WP_003407384.1	3922	2862	2842	1910	3767	3244	2541	2481
WP_010924400.1	2539	3426	2587	1378	2231	3547	2490	2175
WP_003898878.1	12629	15683	14578	9212	11546	17666	11821	12208
WP_003907665.1	5420	6609	6117	3159	4915	7585	5452	4413
WP_003407390.1	10523	9060	8579	3409	8054	11675	8411	4334
WP_003900339.1	7965	6971	6731	3021	6646	8961	6254	3888
WP_003407398.1	6461	5394	5548	2340	5718	7050	5039	3240
WP_003407402.1	1371	995	1081	485	1295	1471	1053	661
WP_003407404.1	462	376	530	213	459	429	326	221
WP_003407407.1	2798	2517	3912	1205	3211	2698	2826	1332
WP_003918246.1	1906	1918	2209	780	2101	1976	1925	899
