GeneID	SRR1023811	SRR1023810	SRR1023805	SRR1023808	SRR1023812	SRR1023806	SRR1023809	SRR1023807
WP_003400253.1	7622	9073	13568	2722	7186	12854	9375	3076
WP_003400271.1	7178	7002	7771	2770	6249	9277	6180	3204
WP_003899768.1	2146	1512	2269	814	1815	2356	1706	828
WP_003899769.1	1093	863	1243	545	1001	1217	975	646
WP_003917863.1	18194	13442	15728	10218	16358	17922	13360	12004
WP_003400286.1	18083	13945	15304	9381	15890	17919	13146	10940
WP_003400291.1	5193	3994	4188	2113	4596	4966	3383	2722
WP_015626284.1	175	142	199	70	155	188	139	70
WP_003400307.1	1307	1717	1190	409	1126	1707	1189	583
WP_003400321.1	18677	22010	22282	5711	18120	25331	21202	7072
WP_003899772.1	4825	6276	6140	1626	4751	7900	6005	1956
WP_003400344.1	3578	2186	3378	1508	3226	3196	2190	1659
WP_003900786.1	4805	4876	4142	2207	4032	5813	4241	3137
WP_003899773.1	3550	3377	3837	1476	3401	3765	3044	1663
WP_003400356.1	6217	5473	8053	2940	6556	7084	5699	3210
WP_003400358.1	6459	6492	8053	3154	6430	8811	6257	4195
WP_003899775.1	6104	5994	8288	2727	6085	8204	6480	3153
WP_003400364.1	4327	4963	6412	2061	4704	6228	4845	2386
WP_003899776.1	6616	6419	8714	3289	6561	9062	7131	4048
WP_003400373.1	3848	3696	4335	1465	3640	5186	3536	1988
WP_003899777.1	25937	26056	27177	12023	22743	30262	21828	14792
WP_003899778.1	2053	1729	2177	936	2031	2201	1784	1100
WP_003400388.1	139	204	195	53	153	247	188	84
WP_003400391.1	1768	1557	2147	763	1847	2264	1500	932
WP_003400393.1	2991	2710	3106	1155	2829	3878	2669	1549
WP_003899780.1	1868	1597	2112	955	1934	2060	1770	989
WP_003400401.1	800	584	434	428	714	529	578	574
WP_003400405.1	919	600	626	519	822	610	621	600
WP_003917865.1	578	409	460	327	639	491	395	414
WP_003400413.1	1354	1012	1534	559	1365	1459	1149	658
WP_003900791.1	322	340	367	140	302	450	330	198
WP_003907264.1	125	384	541	62	148	481	539	54
WP_003905217.1	1202	3839	3564	449	1155	4157	3519	551
WP_003400418.1	238	838	782	71	229	902	705	80
WP_003400421.1	291	1141	781	81	223	1003	954	95
WP_003400425.1	2148	5372	4510	761	2048	5136	4396	851
WP_003400427.1	4026	3493	3069	1359	3284	4164	2763	1948
WP_078440990.1	4628	3465	3711	2285	4128	4542	3448	3041
WP_003400460.1	3500	2884	3546	2277	3295	4133	2905	2936
WP_003907179.1	2415	3185	3182	1085	2539	3560	2771	1399
WP_003900793.1	9190	13562	13857	5318	8596	15839	10393	6880
WP_003900794.1	7528	4581	4854	4004	6801	5596	4236	4781
WP_003400476.1	2497	2039	2323	766	2371	2229	1792	1009
WP_003899786.1	1440	1246	1223	601	1268	1470	1048	769
WP_003400486.1	1495	1700	1317	656	1272	1730	1444	853
WP_003400489.1	4361	4215	4370	2167	3621	6122	3567	3007
WP_003400492.1	20253	21378	22011	11857	16493	29601	18050	15508
WP_003917869.1	7378	7654	10376	7739	6637	11464	7171	9564
WP_003900795.1	1948	1555	1706	951	1736	1983	1511	1213
WP_003400504.1	5299	4261	4856	3424	4999	5255	3754	4734
WP_077543546.1	9068	7286	8304	5279	8063	9759	7090	6350
WP_003400514.1	3414	2926	3844	1806	3384	4042	3068	2235
WP_003899791.1	1292	1193	1550	741	1307	1616	1219	917
WP_003400520.1	3235	2070	2740	1148	3027	3032	1871	1351
WP_003400534.1	6121	5032	4806	2039	4946	6187	3852	2625
WP_003400540.1	4460	3538	3021	1264	3489	4488	2548	1668
WP_003400543.1	7435	5190	5466	2238	5755	7480	4221	2956
WP_003900797.1	2741	2175	2609	944	2604	2535	1797	1092
WP_003400547.1	13951	11689	12534	4556	12761	14067	10146	5604
WP_003400548.1	1429	1187	1486	708	1492	1474	1249	766
WP_003400551.1	7097	5309	6686	3792	6557	6843	5268	4333
WP_003899794.1	2862	1722	2351	1380	2642	2451	1717	1636
WP_003906274.1	1582	1003	1531	758	1440	1463	787	849
WP_003899795.1	7128	6862	5136	1655	6053	7302	4657	2305
WP_003901784.1	3628	3666	3621	2203	3731	4216	2970	2882
WP_003899796.1	1025	879	1058	1642	1051	1100	762	2045
WP_010924181.1	7705	5403	6298	10476	7098	6994	4633	12293
WP_003400577.1	1490	1462	741	987	1107	1252	1049	1492
WP_003400580.1	2218	1868	1453	1146	1801	1946	1440	1557
WP_003899797.1	9322	7697	6609	3860	7752	8147	6027	4835
WP_003400591.1	450	350	351	349	456	379	318	390
WP_003899798.1	725	1091	857	349	605	1104	777	459
WP_003400600.1	1160	1509	1776	688	1155	2002	1390	787
WP_003899799.1	1044	1208	1361	542	954	1381	1156	655
WP_003400603.1	395	267	421	288	475	339	279	345
WP_003400616.1	2227	1952	2345	815	2066	2514	2008	907
WP_003899801.1	2106	1593	2307	730	1935	2435	1915	945
WP_003400620.1	1472	1448	1661	613	1425	1866	1536	762
WP_003400622.1	1666	1442	1762	926	1680	1722	1465	1090
WP_003400629.1	1266	926	938	606	1163	1072	846	759
WP_003900801.1	2306	2621	1329	1834	1848	1684	2082	2571
WP_003899803.1	702	614	578	291	635	830	521	419
WP_003400645.1	2388	1317	1461	1638	2200	1612	1386	1889
WP_003400649.1	1458	692	981	987	1258	963	863	1142
WP_003400655.1	2348	2389	466	531	1883	528	861	613
WP_003899804.1	882	975	486	225	725	385	463	258
WP_003400657.1	1366	1108	1515	510	1449	1417	1115	515
WP_003400658.1	1373	1341	1476	537	1397	1718	1334	630
WP_003907280.1	2122	1914	2129	763	2033	2513	1847	994
WP_003900802.1	2083	1847	2329	1026	2133	2440	1822	1153
WP_003400661.1	1166	1093	1280	483	1078	1460	1093	593
WP_003400662.1	2665	2205	2934	1193	2685	3028	2538	1397
WP_010924183.1	6840	2847	2591	3161	5540	3392	2244	4083
WP_003400665.1	2035	970	787	827	1679	1035	793	1219
WP_003899807.1	444	237	229	156	344	247	224	238
WP_014848095.1	220	115	154	66	223	162	117	89
WP_003400678.1	1567	935	881	559	1642	1049	756	694
WP_003899808.1	4981	3454	3211	2640	4530	3872	3168	3499
WP_003899809.1	1200	972	966	903	1169	1116	973	1246
WP_025986930.1	3	1	0	1	2	1	2	0
WP_003900805.1	168	98	119	109	172	100	107	116
WP_003400781.1	226	150	135	118	208	134	125	167
WP_003400786.1	452	335	380	228	404	415	307	262
WP_003899810.1	275	160	226	158	273	217	174	150
WP_003400792.1	1328	991	782	921	1300	1001	777	1169
WP_003400793.1	800	531	313	688	825	285	418	750
WP_003400794.1	9269	5539	9684	5833	10297	7633	6793	6480
WP_003900808.1	4735	2601	2702	3050	4529	2920	2586	3553
WP_003400797.1	7348	5264	5899	3380	6619	6787	5098	4343
WP_003899813.1	1514	2082	2708	1179	1631	2888	2190	1410
WP_003400802.1	54	40	35	27	32	57	29	26
WP_003400804.1	1464	627	816	331	1007	953	555	447
WP_003899815.1	10351	15596	15776	3778	9423	19023	14346	4869
WP_003400812.1	11835	22916	28114	5578	12826	25567	24019	6096
WP_003909149.1	778	753	869	423	773	979	807	561
WP_003400822.1	519	328	508	228	455	529	409	272
WP_010924186.1	7018	7237	8943	3515	6968	9587	6640	4253
WP_003400829.1	1983	496	597	787	1823	557	458	888
WP_003400840.1	1450	395	404	580	1180	489	371	722
WP_003899819.1	2784	879	874	1253	2326	1020	728	1391
WP_003400850.1	1587	206	178	892	1295	216	176	1272
WP_003400856.1	5756	2956	2309	5450	4532	2809	2497	7551
WP_003400857.1	632	496	424	352	604	498	428	334
WP_003900812.1	1918	1895	1286	937	1700	1635	1559	1087
WP_003899822.1	3102	3102	2114	1182	2641	2747	2330	1565
WP_003400860.1	7485	7575	4743	5203	6283	6421	5479	6408
WP_003917886.1	1435	637	631	1420	1461	685	617	1808
WP_003400865.1	878	695	496	651	728	596	571	737
WP_003400878.1	897	730	504	497	716	728	587	699
WP_042507420.1	454	378	380	248	416	475	308	321
WP_003400885.1	11241	8525	6797	4590	9040	8708	6985	6059
WP_003400893.1	5561	3394	3408	2444	4870	3840	3025	3132
WP_003899824.1	4084	2833	2898	2013	3751	3291	2737	2522
WP_003899825.1	3813	2743	2096	1347	3049	2698	1839	1672
WP_003400908.1	29891	19850	15348	13189	22344	21467	14761	18208
WP_003400912.1	1408	1043	940	479	1227	1261	777	756
WP_003400917.1	3214	2294	1800	1436	2803	2235	1741	2000
WP_003917889.1	1127	871	819	1153	1151	802	795	1523
WP_003400924.1	2244	1638	2011	1215	2018	2197	1601	1627
WP_003899827.1	3234	3158	4716	2567	3242	4906	3708	3218
WP_003400935.1	2219	2196	2947	1330	2326	2819	2167	1638
WP_003400938.1	1451	1477	1190	847	1407	1539	1242	1193
WP_003400942.1	1988	1795	1699	1594	2273	1656	1613	1938
WP_003400945.1	824	822	1141	335	878	1064	909	380
WP_003400947.1	2394	2473	3278	922	2519	3437	2983	992
WP_003400949.1	2099	1665	1492	1724	1981	1772	1541	2205
WP_003400951.1	3686	4297	3718	2384	3521	4323	3577	2777
WP_003400956.1	2449	4349	2850	1203	2008	4058	3358	1602
WP_010924192.1	3748	4055	4215	1565	3719	4993	3697	1877
WP_003400961.1	8269	5931	5467	4150	7880	6105	5358	4907
WP_003899829.1	19183	9045	8914	6914	16806	11636	9469	10016
WP_003900814.1	3651	1450	1237	977	2954	1430	1286	1048
WP_003400974.1	8640	10136	7010	4463	7013	9493	7553	5860
WP_003400979.1	6959	7088	5565	3181	5369	7633	5529	4029
WP_003400985.1	4481	4154	3974	2288	3767	4870	3833	2701
WP_003400989.1	537	346	447	309	581	430	381	342
WP_003899833.1	1103	993	1428	539	1129	1233	1007	609
WP_003401003.1	786	575	691	388	814	596	580	498
WP_003401006.1	356	244	219	151	344	247	245	208
WP_003401010.1	2627	1945	1845	1310	2484	2185	1804	1654
WP_003401015.1	4139	3418	3022	2009	3780	3447	2938	2548
WP_042507421.1	3297	3956	3865	753	2728	5275	3431	1087
WP_003401030.1	1602	1771	1994	463	1305	2357	1572	512
WP_003899835.1	9017	9574	10437	2870	8065	12463	9275	3785
WP_003401037.1	2447	2501	2621	997	2337	2614	2209	1281
WP_003401044.1	1392	1248	1645	702	1393	1654	1360	868
WP_003917891.1	1616	1606	2017	786	1569	2024	1489	832
WP_003900817.1	445	302	316	212	458	299	239	270
WP_003401058.1	1288	1300	1417	495	1331	1438	1146	703
WP_003917894.1	775	652	1063	308	821	856	750	273
WP_003905247.1	263	340	533	124	309	477	363	130
WP_003401063.1	9889	8156	9530	2602	8538	10710	8065	3100
WP_003899837.1	14414	26908	34634	5626	12825	37457	27398	6686
WP_003401074.1	13045	21385	22866	5607	10817	30365	20547	7437
WP_003401077.1	9089	14802	15381	3929	8179	18916	13804	5380
WP_003899838.1	12505	18128	21436	5370	11432	22678	16891	6959
WP_003899839.1	7335	10933	11658	3272	6433	13789	10050	3690
WP_031687476.1	17597	28997	32330	8436	16092	37374	24942	10239
WP_003401084.1	13869	22676	26005	6234	12752	29600	20052	7419
WP_003899841.1	12117	21193	23348	5281	10949	26665	18522	6671
WP_003401091.1	29317	44256	54736	14108	28092	56653	41261	15697
WP_072509005.1	13255	16149	20900	6934	13399	21258	16305	7743
WP_003899843.1	5595	5660	8078	2646	5165	8846	6248	3151
WP_003401099.1	6494	5524	7710	3107	5844	8501	6069	3499
WP_003899844.1	9709	9466	11472	4234	8915	13039	9219	5277
WP_003899845.1	9395	7192	9087	5343	8572	9687	6849	6692
WP_003899846.1	6997	4551	4493	2990	6640	5027	3931	3470
WP_003401107.1	1199	841	1074	1017	1186	1109	880	1157
WP_003401110.1	3712	2858	3404	3386	3705	3576	2877	4154
WP_003401112.1	4770	4284	4534	1636	4581	5093	4102	2211
WP_003401116.1	4019	3899	3533	1470	3490	4534	3496	1998
WP_003401120.1	2187	2049	2126	947	2009	2404	1851	1279
WP_003401122.1	25500	27400	17849	18962	22816	23356	21284	26038
WP_010886068.1	35140	34057	26016	24118	35057	25535	31680	29741
WP_003401129.1	2583	1741	1501	1173	2355	1849	1696	1530
WP_003401141.1	6241	7702	5171	10954	5385	7137	7649	14874
WP_003900824.1	7829	7146	6197	4894	6840	8024	6188	6877
WP_003401147.1	8035	4748	5457	6366	7130	5353	5835	7383
WP_010924196.1	5459	3907	4271	2814	5021	4891	4084	3660
WP_003899849.1	6966	5185	5373	2592	6345	6164	5079	3663
WP_003899850.1	976	737	849	497	947	883	711	610
WP_003899851.1	1072	896	930	516	953	947	844	726
WP_003901824.1	76	76	61	48	77	50	69	57
WP_003401168.1	258	183	228	247	278	280	182	354
WP_042507422.1	1641	1070	1163	1015	1592	1176	879	1258
WP_003401172.1	10563	7458	7167	4352	9248	8819	6805	5420
WP_003401181.1	1887	1306	1227	775	1788	1704	1253	961
WP_003401184.1	3384	2988	3168	1396	2904	3940	2690	1933
WP_003401187.1	3482	3797	3957	1865	3290	4443	3401	2465
WP_003401190.1	12865	14055	14503	8220	12980	15818	13174	9966
WP_003401194.1	4021	3756	3560	973	3234	4924	3227	1401
WP_003401195.1	5146	6136	5651	2614	4400	7406	4973	3414
WP_003899854.1	2119	2161	2938	896	1964	3272	2177	1147
WP_010924202.1	29591	26764	31754	15372	27649	35296	26106	18194
WP_003401202.1	7286	5675	8222	3905	6285	9340	6189	5176
WP_003401204.1	4396	4545	5647	2770	4245	5662	4202	3507
WP_003907228.1	1444	1221	1690	838	1479	1619	1382	1077
WP_023641760.1	1072	835	1068	498	993	1054	985	659
WP_003401212.1	44181	22754	10945	9609	37283	14013	16962	12222
WP_003917901.1	3728	1586	1220	752	3319	1415	1419	958
WP_003900828.1	2240	1567	1465	1543	2144	1720	1354	1701
WP_003900829.1	1570	1458	1423	786	1477	1656	1265	996
WP_003401224.1	1262	964	919	551	1108	1113	814	710
WP_003900831.1	1191	1050	932	611	1150	1073	880	793
WP_003901829.1	968	602	612	634	936	651	643	737
WP_003401230.1	211	164	120	88	179	195	160	147
WP_003899863.1	14105	15350	14540	6670	12891	17163	13721	8225
WP_003900834.1	3012	2795	2891	1426	2782	3199	2624	1691
WP_003899864.1	2454	2151	2352	1254	2347	2728	2074	1553
WP_003899865.1	2343	1739	1578	1203	2093	2070	1529	1489
WP_003401240.1	838	775	895	407	796	917	780	425
WP_003401246.1	3501	3471	4675	1444	3448	4979	3886	1790
WP_003401250.1	3204	3992	3778	1088	2829	4815	3366	1395
WP_003401257.1	11212	11733	10840	3281	9588	14025	9504	4125
WP_003401260.1	1676	1924	1962	787	1562	2287	1721	980
WP_003911071.1	1307	1504	1947	604	1426	2093	1442	738
WP_003911072.1	810	953	1052	265	770	1271	915	426
WP_003900835.1	2582	2135	2190	1605	2374	2272	2053	1816
WP_003401265.1	5718	6999	5376	1601	4741	6696	5051	2108
WP_003401268.1	3151	4228	5241	2567	3037	5194	4735	3168
WP_003401270.1	3460	4829	4884	2299	2967	6005	4424	2975
WP_003401276.1	4400	3384	3009	2814	3615	3985	2682	3674
WP_003401279.1	2542	1500	1593	1156	2478	1605	1357	1364
WP_003902628.1	8720	9451	12715	3788	9221	12609	10081	4824
WP_003401289.1	4171	3117	6458	1605	4421	4082	4473	1717
WP_003401295.1	3359	2394	2816	973	2952	3096	2558	1121
WP_003401297.1	2927	2081	3192	1624	3036	3117	2491	1689
WP_003401300.1	3124	2043	4091	1793	3075	3024	2887	2014
WP_003900837.1	1731	1669	1792	734	1631	2194	1382	936
WP_003401305.1	4264	6704	6882	2060	3792	8299	4587	2661
WP_003899869.1	5304	7747	8892	2964	4532	10735	5832	3841
WP_003401309.1	17089	19470	20543	9839	14837	25787	14345	13208
WP_003401312.1	6416	11718	6280	3250	6144	7850	10773	3906
WP_003401313.1	1814	1310	1804	1800	1639	1846	1357	2203
WP_003401317.1	2099	1551	2103	1004	2140	1909	1548	1033
WP_003401319.1	5171	3605	4368	1671	4969	4746	3647	1820
WP_003401322.1	15198	11247	10897	4814	13589	14103	9878	5826
WP_003401324.1	6000	4848	5155	2216	5659	5374	4142	2351
WP_003401329.1	4685	6241	6455	3424	4566	5846	6190	3961
WP_003900838.1	5146	10171	1908	3775	4095	2221	9087	4877
WP_010924210.1	2325	646	550	922	2372	648	629	1156
WP_003401341.1	342	123	186	122	337	167	175	160
WP_003899876.1	652	446	524	262	643	565	469	349
WP_003899877.1	2056	2172	2127	959	1977	2572	1820	1277
WP_010924211.1	4790	4604	4214	2458	4404	5077	3746	3266
WP_003905262.1	2113	2715	2363	949	1891	2425	2146	1290
WP_003907239.1	2244	2679	2154	881	1870	2505	2013	1253
WP_003401352.1	794	816	686	548	802	730	738	696
WP_003401354.1	347	142	188	227	361	153	152	288
WP_003401357.1	273	63	94	161	314	79	84	187
WP_003401360.1	247	173	140	133	231	155	135	167
WP_003899880.1	2038	2885	2397	2141	1884	2746	2673	2720
WP_003917907.1	2481	6996	3898	2188	2147	5240	5253	3068
WP_003401370.1	1467	4446	2179	1094	1267	3229	3472	1767
WP_003401373.1	1775	1765	1995	812	1716	2281	1598	1227
WP_003401380.1	1719	2192	2425	839	1500	2777	1888	1030
WP_003401383.1	2895	2834	4949	1422	2674	4695	3974	1905
WP_003401386.1	2074	1867	2079	1111	1900	2471	1933	1397
WP_003899884.1	12150	20866	16892	6956	10257	22531	17376	9085
WP_003401392.1	10386	17281	14798	5243	9271	18426	14903	6721
WP_003401394.1	3358	3763	3584	2166	3122	4106	3596	2822
WP_003401397.1	1845	1835	1725	991	1580	2060	1685	1345
WP_003401399.1	1876	1823	2191	1809	1723	2276	1592	2292
WP_003899886.1	2880	3322	3003	6385	2559	3537	2515	8069
WP_003401404.1	10136	15158	13409	6249	9650	14920	12048	8818
WP_003401406.1	2953	3217	3131	1526	2814	3841	2806	1734
WP_003900884.1	6040	6257	6683	3348	5605	6809	4993	4301
WP_003904373.1	108	68	57	20	59	109	60	20
WP_010950374.1	2778	1292	1950	633	1918	2413	1321	778
WP_003401448.1	5321	4374	5149	2362	4743	5873	4385	3198
WP_003898392.1	17945	13807	17197	7404	15790	18284	12602	8373
WP_003401472.1	13998	12672	13446	6042	12284	16994	10909	7580
WP_003401478.1	24801	20810	23147	9147	21168	27523	18229	11310
WP_003401485.1	3793	3105	3494	1146	3023	4687	2867	1598
WP_003401488.1	12799	10555	10323	4096	9509	14799	9243	5587
WP_003401503.1	8609	7553	6781	3123	6941	9304	6128	3492
WP_003401514.1	13762	11063	13113	5858	13031	13794	10851	6171
WP_003401521.1	10802	10843	10388	5080	8863	13418	9248	5753
WP_003401524.1	11881	13867	12523	5430	9397	17337	11369	6613
WP_003401528.1	9632	9818	10064	4176	7916	13201	8633	5402
WP_003401533.1	3839	3470	4600	2391	3603	4517	3472	2927
WP_010924221.1	4440	3469	4917	5756	4551	4588	3331	7055
WP_003401538.1	811	614	785	339	841	765	686	387
WP_003401540.1	3531	2567	3318	1207	3642	3436	2723	1482
WP_010924222.1	4189	3673	3292	1062	3879	3605	2974	1491
WP_031676653.1	10431	13710	10935	10057	9573	14138	10527	14689
WP_003401555.1	7100	7029	6356	1979	7157	7030	7074	2756
WP_003401560.1	5716	5328	4855	1666	5367	5681	5397	2404
WP_003401563.1	4102	4243	3143	1270	3384	4516	3565	1692
WP_003401566.1	2362	1776	1916	1027	2155	2086	1852	1183
WP_003401571.1	1725	1447	1678	710	1865	1594	1502	761
WP_003900117.1	1474	1368	1399	729	1500	1548	1312	923
WP_003900118.1	5076	6053	7550	3242	4786	7112	6002	3702
WP_003401584.1	1114	1088	580	574	877	786	800	836
WP_003401589.1	1694	1609	841	1437	1580	911	1406	1813
WP_003401594.1	8212	5340	4943	2971	7187	5433	4440	3384
WP_003401597.1	9672	11335	11758	4261	8957	13148	9424	5451
WP_003401601.1	1467	1595	1747	651	1289	2155	1460	834
WP_003898398.1	962	1071	663	1537	895	768	930	1764
WP_003900119.1	8754	8188	10416	4891	8003	11645	7562	6421
WP_003401613.1	3993	3919	4916	3668	3867	4923	4053	4450
WP_003401621.1	12672	13326	12590	2858	12206	15205	10486	3728
WP_003401623.1	2404	2089	2504	921	2427	2730	2131	1160
WP_003401625.1	2603	2149	2581	1401	2578	2500	2069	1713
WP_003401627.1	1006	991	1037	357	871	1324	910	481
WP_003401632.1	718	606	768	333	729	838	660	385
WP_003401636.1	358	1819	2003	190	358	2776	1449	232
WP_003898399.1	2002	2395	2462	687	1823	2779	2038	783
WP_003898400.1	725	515	603	448	687	611	542	520
WP_003401643.1	620	581	576	367	599	631	514	438
WP_003401648.1	368	368	371	313	345	476	335	408
WP_003898401.1	163	164	171	109	159	173	130	123
WP_003898402.1	160	133	162	95	162	193	178	110
WP_003401650.1	828	524	491	364	821	561	453	484
WP_003401651.1	1005	1287	1310	739	926	1755	1172	968
WP_003401654.1	657	744	786	348	616	989	634	446
WP_003401656.1	377	295	321	181	360	337	271	257
WP_003900121.1	862	1034	846	362	704	1076	783	480
WP_003401662.1	2816	2375	2318	1318	2449	3010	2148	1892
WP_003401666.1	1233	996	974	496	1126	1208	954	720
WP_003401670.1	1434	1172	1101	657	1235	1197	1053	802
WP_003401675.1	872	720	563	510	800	671	542	700
WP_003906341.1	78	33	51	64	56	62	40	63
WP_003401733.1	5609	4487	5373	2680	5373	5695	4244	3332
WP_003917289.1	20254	16182	17290	8357	17412	20681	14159	9903
WP_003401735.1	2376	2305	3135	1549	2512	3220	2326	1794
WP_003401737.1	732	1047	1314	651	706	1368	990	745
WP_042507723.1	3264	14445	38165	7624	2638	57921	12131	10803
WP_003900124.1	3174	4447	8122	3445	2839	10742	4103	4308
WP_003401747.1	5322	4687	7599	3305	5072	8108	5106	4255
WP_003401751.1	1405	1116	1358	535	1354	1405	1044	694
WP_003401753.1	1423	1317	1543	611	1335	1544	1393	791
WP_003898409.1	10750	11912	11035	4115	9705	13692	10381	5002
WP_003401755.1	1848	2062	1779	1059	1783	2025	1580	1304
WP_003401756.1	3062	1962	1976	1624	3072	2278	1611	1853
WP_003900125.1	1225	1011	1178	752	1313	1286	870	892
WP_010924232.1	41705	15977	11064	12065	31497	15384	12650	14655
WP_003401817.1	6839	2011	2153	1820	5649	2688	2168	2266
WP_003401821.1	12650	5773	5475	4912	10964	6742	5441	6184
WP_003401823.1	1926	822	874	701	1635	1053	863	924
WP_003401827.1	2214	2071	2356	917	2295	2468	1941	1238
WP_003401829.1	2836	2356	2438	1106	2553	2906	2029	1546
WP_003401831.1	488	457	476	184	412	564	403	281
WP_003898413.1	1433	1659	1382	471	1166	1885	1272	702
WP_003898414.1	772	919	691	318	573	1155	815	458
WP_003401853.1	4654	2452	2763	1475	4038	2914	2520	1730
WP_003898415.1	2214	1705	1864	806	2039	2124	1762	1084
WP_003401856.1	7918	7271	5967	3031	6205	8023	5443	3704
WP_003401857.1	5181	4756	4829	1797	4791	5722	4358	2232
WP_003401858.1	1719	1709	1788	949	1733	2024	1714	1281
WP_003401859.1	486	441	482	300	445	555	393	419
WP_003401860.1	1569	1274	1467	1406	1421	1775	1281	1968
WP_010924236.1	347	238	226	223	303	264	239	269
WP_003898417.1	333	231	200	202	342	228	255	241
WP_003898418.1	348	128	164	251	350	161	155	254
WP_003401864.1	124	55	64	100	93	67	72	116
WP_003401865.1	146	117	77	119	121	93	95	134
WP_003900133.1	717	594	458	560	587	612	481	704
WP_003401867.1	102	79	62	87	90	80	63	87
WP_003898419.1	207	212	146	145	210	179	160	198
WP_003898421.1	891	779	777	735	906	848	759	915
WP_003401880.1	56	27	37	31	62	41	29	23
WP_003401885.1	2842	2390	4321	941	3210	3254	3674	1264
WP_003401887.1	1410	1670	1950	529	1550	1953	1789	719
WP_003917294.1	4233	3460	5205	2204	4378	4508	3900	2760
WP_003401894.1	2492	1862	2823	1415	2562	2645	2082	1655
WP_003401897.1	9763	7614	9945	5832	9032	11094	8066	7425
WP_003401905.1	11919	12641	6501	6338	9380	9389	9889	9194
WP_003401910.1	1263	902	1063	887	1395	1005	932	1120
WP_003401912.1	2463	4861	5599	1693	2423	6357	4497	2196
WP_003401914.1	1205	1612	1252	744	1063	1726	1252	931
WP_003906360.1	537	524	473	195	456	529	463	288
WP_003898427.1	1455	1229	1197	777	1398	1464	1148	1091
WP_003401921.1	1881	1240	1481	681	1610	1942	1275	960
WP_003401927.1	3185	2351	2677	1310	2728	3209	2296	1675
WP_003898428.1	2719	2633	2473	1219	2343	3036	2065	1614
WP_003401938.1	1452	1591	1629	881	1378	1941	1476	1113
WP_003401942.1	1627	1651	1565	777	1568	1890	1453	1012
WP_003401944.1	52	30	33	27	38	31	26	23
WP_042507424.1	158	79	153	82	165	115	132	71
WP_003401960.1	178	89	99	97	159	124	124	125
WP_003907382.1	2732	1386	1118	1385	2072	1400	1094	2032
WP_003898430.1	4270	2139	1895	2532	3492	2141	1781	3463
WP_003401963.1	4218	2352	1635	2080	3455	2231	1681	3165
WP_003898432.1	1517	1296	1077	965	1423	1219	1030	1121
WP_003401972.1	3219	3158	2220	2033	2645	3185	2602	2698
WP_003401978.1	495	382	431	188	424	445	465	264
WP_003898435.1	2289	1122	1702	1140	2290	1393	1270	1150
WP_085974999.1	8	1	3	8	5	3	1	6
WP_003900138.1	484	426	600	198	475	591	445	225
WP_003900139.1	2041	1673	2355	751	1838	2481	1537	864
WP_003917299.1	2508	2081	3200	1096	2430	3328	2194	1179
WP_003898437.1	1202	1096	947	730	1064	1043	905	855
WP_003898438.1	3421	2738	2574	2300	3169	3043	2446	2659
WP_003898439.1	3757	3196	3477	2242	3706	3750	3237	2640
WP_003402097.1	2343	1810	2208	1375	2260	2452	1866	1749
WP_003402100.1	6275	4498	7210	5752	6307	7436	4335	6942
WP_003900142.1	3509	2326	3606	3094	3360	3867	2196	4095
WP_003402108.1	6415	4478	6636	4827	5956	6848	4649	6478
WP_003402111.1	2008	1874	2053	1313	1851	2322	1747	1849
WP_003402115.1	1041	1193	1034	529	962	1385	998	776
WP_003402118.1	1323	794	793	1043	1153	904	822	1498
WP_003402121.1	196	103	103	112	150	136	85	178
WP_003402126.1	888	633	492	607	824	590	531	776
WP_003402129.1	131	125	85	82	142	109	88	78
WP_003402133.1	6624	4032	4657	2492	6438	5105	3977	3077
WP_003898442.1	8300	5974	6569	4204	8253	7066	5907	5327
WP_003402143.1	1826	931	1145	1018	1627	1237	943	1205
WP_003402145.1	1384	1247	1482	770	1521	1467	1305	926
WP_003402147.1	2805	2266	2554	1493	2799	3085	2337	1867
WP_003900143.1	14412	11696	11449	8019	13077	13296	10114	9944
WP_003402157.1	3163	2992	3637	1394	3020	3700	2904	1585
WP_003898445.1	19523	20579	20491	13557	19237	23677	19715	16707
WP_003402171.1	4414	3287	2325	1807	3220	3659	2967	3080
WP_003402176.1	2475	1846	1972	963	2242	2083	1519	1211
WP_003900144.1	1492	1155	1225	562	1402	1357	1063	726
WP_003402185.1	1518	1154	1234	512	1478	1397	1055	650
WP_003402188.1	6758	4764	6535	2628	6506	7790	5144	3614
WP_003898448.1	5797	5672	5941	2179	5532	7631	5199	2862
WP_003402198.1	9624	10895	8384	2881	8105	11609	8538	4006
WP_003900145.1	5764	5904	5343	1722	5381	6505	5296	2202
WP_003900146.1	2209	1962	2435	887	2332	2668	2276	1053
WP_003402206.1	4141	3708	4692	2099	4302	5076	3765	2634
WP_003402213.1	2565	2572	2569	1031	2583	2999	2329	1353
WP_003402216.1	2317	2338	2285	1036	2261	2778	2067	1456
WP_003898451.1	2391	1799	2246	1067	2348	2293	1737	1403
WP_003402219.1	2068	1912	1737	514	1706	2138	1492	681
WP_003402236.1	87602	63468	43946	17680	67361	59493	42418	21820
WP_003402238.1	3026	2535	3277	2125	2954	3068	2583	2497
WP_003402239.1	1215	1286	1721	770	1213	1873	1248	993
WP_003402240.1	2171	1973	3059	1440	2396	2582	2349	1597
WP_003898455.1	3539	2930	4017	1881	3480	4368	3227	2314
